title	short_title	link	saleprice	oldprice	reviews	percentoff
eufy Security Wireless Home Security Camera System, eufyCam E 365-Day Battery Life, 1080p HD, IP65 Weatherproof, Night Vision, Compatible with Amazon Alexa, 2-Cam Kit, No Monthly Fee	eufy Security Wireless Ho	/Security-Wireless-Compatible-Detection-Supported/dp/B07JJBL7DW/ref=sr_1_77?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252030&s=black-friday&sr=1-77	199.99	409.99	755	51.22076148
Samsung 860 EVO 500 GB SATA 2.5 Inch Internal Solid State Drive (SSD) (MZ-76E500)	Samsung 860 EVO 500 GB SA	/Samsung-MZ-76E500B-EU-Solid-State/dp/B078WQT6S6/ref=sr_1_36?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252021&s=black-friday&sr=1-36	52.99	99.99	0	47.00470047
WD 8 TB My Book USB 3.0 Desktop Hard Drive with Password Protection and Auto Backup Software, Black	WD 8 TB My Book USB 3.0 D	/WD-Book-Desktop-Hard-Drive/dp/B01LWVT81X/ref=sr_1_4?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252021&s=black-friday&sr=1-4	129.99	239	0	45.61087866
WD_BLACK SN750 1TB High-Performance NVMe Internal Gaming SSD	WD_BLACK SN750 1TB High-P	/Black-SN750-High-Performance-Internal-Gaming/dp/B07M64QXMN/ref=sr_1_85?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252033&s=black-friday&sr=1-85	104.99	190.99	0	45.02853553
Inateck 2.5 Hard Drive Enclosure, USB 3.0 External Hard Drive Case, FE2005	Inateck 2.5 Hard Drive En	/Optimized-Inateck-3-0-Portable-2-5-SATA-I-Additional/dp/B00KW4T69A/ref=sr_1_16_mod_primary_lightning_deal?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252021&s=black-friday&sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D&smid=A5JH7MGCI556L&sr=1-16	7.19	12.99	0	44.64973056
USB C Hub, Type C Hub Adapter, 3 USB 3.0 Ports, TF/SD Card Reader,USB-C Power Delivery, 6 in 1 Aluminum Adapter for MacBook Pro 13â€³and 15â€³2016/2017/2018, Macbook Air 13â€³ 2018 (Grey)	USB C Hub, Type C Hub Ada	/Adapter-Delivery-Aluminum-MacBook-15%E2%80%B32016/dp/B07MT4QWYL/ref=sr_1_154?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252046&s=black-friday&sr=1-154	14.39	25.99	0	44.63255098
Ecovacs Robot Vacuum OZMO920 Robotic Vacuum Cleaner, 2-in-1 with Mop Smart Navi 3.0 Laser Technology, Multi-floor Mapping, Virtual Boundary, Alexa & App Connect for Low-pile Carpets & Hard Floors	Ecovacs Robot Vacuum OZMO	/Ecovacs-Technology-Cleaning-Multi-floor-Boundary/dp/B07WZD96GP/ref=sr_1_91?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252033&s=black-friday&sr=1-91	332.98	589.98	201	43.56079867
Roku Streaming Stick+ | HD/4K/HDR Streaming Media Player, Black	Roku Streaming Stick+ | H	/Roku-Streaming-Stick-Media-Player/dp/B076FH18TC/ref=sr_1_80?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252030&s=black-friday&sr=1-80	34	59.99	0	43.32388731
Samsung 970 EVO Plus 500 GB PCIe NVMe M.2 (2280) Internal Solid State Drive (SSD) (MZ-V7S500)	Samsung 970 EVO Plus 500 	/Samsung-MZ-V7S500BW-Solid-State-Drive/dp/B07MFBLN7K/ref=sr_1_53?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252027&s=black-friday&sr=1-53	69.99	121.99	0	42.62644479
USB C Hub Type C Dock Adapter - USB C Dock 7 In 1 with 4K HDMI (30Hz), 2 USB 3.0 Ports, SD/TF Card Reader, Compatible with MacBook Pro/Air and More Type-C Laptops Or Devices	USB C Hub Type C Dock Ada	/Multi-port-Adapter-Delivery-MacBook-Spectre-Grey/dp/B07CPRWL41/ref=sr_1_159_mod_primary_lightning_deal?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252046&s=black-friday&sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D&smid=A2QFAGLKNVUN3&sr=1-159	15.99	26.99	536	40.75583549
